Month,"Average
Contract
Rate"
,
,
01/1998,7.3
02/1998,7.2
03/1998,7.2
04/1998,7.2
05/1998,7.3
06/1998,7.2
07/1998,7.2
08/1998,7.2
09/1998,7.1
10/1998,6.9
11/1998,6.9
12/1998,7.0
01/1999,7.0
02/1999,7.0
03/1999,7.1
04/1999,7.1
05/1999,7.2
06/1999,7.4
07/1999,7.7
08/1999,7.8
09/1999,8.0
10/1999,8.0
11/1999,8.0
12/1999,8.0
01/2000,8.2
02/2000,8.5
03/2000,8.5
04/2000,8.4
05/2000,8.5
06/2000,8.6
07/2000,8.5
08/2000,8.4
09/2000,8.3
10/2000,8.2
11/2000,8.1
12/2000,8.0
01/2001,7.6
02/2001,7.4
03/2001,7.3
04/2001,7.3
05/2001,7.3
06/2001,7.3
07/2001,7.3
08/2001,7.3
09/2001,7.1
10/2001,7.0
11/2001,6.8
12/2001,6.9
01/2002,7.1
02/2002,7.0
03/2002,7.0
04/2002,7.1
05/2002,7.0
06/2002,6.9
07/2002,6.7
08/2002,6.5
09/2002,6.4
10/2002,6.3
11/2002,6.3
12/2002,6.2
01/2003,6.1
02/2003,6.0
03/2003,5.9
04/2003,5.9
05/2003,5.8
06/2003,5.6
07/2003,5.5
08/2003,5.8
09/2003,6.1
10/2003,6.1
11/2003,6.1
12/2003,6.0
01/2004,6.1
02/2004,6.0
03/2004,5.9
04/2004,5.8
05/2004,6.0
06/2004,6.3
07/2004,6.3
08/2004,6.2
09/2004,6.1
10/2004,6.1
11/2004,6.1
12/2004,6.2
01/2005,6.3
02/2005,6.2
03/2005,6.3
04/2005,6.4
05/2005,6.3
06/2005,6.2
07/2005,6.2
08/2005,6.3
09/2005,6.4
10/2005,6.6
11/2005,6.8
12/2005,7.0
01/2006,7.0
02/2006,7.0
03/2006,7.1
04/2006,7.0
05/2006,7.1
06/2006,7.2
07/2006,7.3
08/2006,7.3
09/2006,7.1
10/2006,7.1
11/2006,7.1
12/2006,7.0
01/2007,7.0
02/2007,6.9
03/2007,6.8
04/2007,6.7
05/2007,6.7
06/2007,6.8
07/2007,7.0
08/2007,7.0
09/2007,6.9
10/2007,6.8
11/2007,6.7
12/2007,6.5
01/2008,6.4
02/2008,6.1
03/2008,6.3
04/2008,6.2
05/2008,6.2
06/2008,6.3
07/2008,6.5
08/2008,6.6
09/2008,6.5
10/2008,6.4
11/2008,6.4
12/2008,6.0
01/2009,5.5
02/2009,5.4
03/2009,5.4
04/2009,5.2
05/2009,5.1
06/2009,5.3
07/2009,5.5
08/2009,5.5
09/2009,5.4
10/2009,5.3
11/2009,5.2
12/2009,5.1
01/2010,5.2
02/2010,5.2
03/2010,5.1
04/2010,5.1
05/2010,5.1
06/2010,5.0
07/2010,4.9
08/2010,4.7
09/2010,4.6
10/2010,4.5
11/2010,4.4
12/2010,4.5
01/2011,4.8
02/2011,4.9
03/2011,5.0
04/2011,4.9
05/2011,4.9
06/2011,4.7
07/2011,4.6
08/2011,4.6
09/2011,4.3
10/2011,4.2
11/2011,4.2
12/2011,4.2
01/2012,4.2
02/2012,4.1
03/2012,4.1
04/2012,4.1
05/2012,4.0
06/2012,3.9
07/2012,3.8
08/2012,3.7
09/2012,3.7
10/2012,3.7
11/2012,3.6
12/2012,3.5
01/2013,3.6
02/2013,3.6
03/2013,3.7
04/2013,3.7
05/2013,3.6
06/2013,3.8
07/2013,4.2
08/2013,4.5
09/2013,4.6
10/2013,4.5
11/2013,4.4
12/2013,4.4
01/2014,4.5
02/2014,4.5
03/2014,4.5
04/2014,4.5
05/2014,4.4
06/2014,4.3
07/2014,4.3
08/2014,4.3
09/2014,4.3
10/2014,4.3
11/2014,4.2
12/2014,4.2
01/2015,4.1
02/2015,4.0
03/2015,4.0
04/2015,4.0
05/2015,4.0
06/2015,4.1
07/2015,4.2
08/2015,4.2
09/2015,4.2
10/2015,4.1
11/2015,4.1
12/2015,4.2
01/2016,4.2
02/2016,4.2
03/2016,4.0
04/2016,4.0
05/2016,3.9
06/2016,3.9
07/2016,3.9
08/2016,3.8
09/2016,3.8
10/2016,3.7
11/2016,3.8
12/2016,4.1
01/2017,4.3
02/2017,4.4
03/2017,4.4
04/2017,4.4
05/2017,4.3
06/2017,4.2
07/2017,4.2
08/2017,4.2
09/2017,4.2
10/2017,4.2
11/2017,4.2
12/2017,4.3
01/2018,4.3
02/2018,4.4
03/2018,4.7
04/2018,4.7
05/2018,4.8
06/2018,4.8
07/2018,4.8
08/2018,4.8
09/2018,4.8
10/2018,5.0
11/2018,5.1
12/2018,5.1
01/2019,5.0
02/2019,4.8
03/2019,4.7
04/2019,4.5
05/2019,4.5
06/2019,4.3
07/2019,4.2
08/2019,4.1
09/2019,4.0
10/2019,4.0
11/2019,4.1
12/2019,4.1
01/2020,4.1
02/2020,4.0
03/2020,3.7
04/2020,3.6
05/2020,3.5
06/2020,3.5
07/2020,3.3
08/2020,3.2
09/2020,3.1
10/2020,3.1
11/2020,3.0
12/2020,3.0
01/2021,3.0
02/2021,3.0
03/2021,3.1